,de,en-GB,en,es,es-MX,fr-CA,fr,it,ja,ko,nl,ru,zh-Hans,zh-Hant
CoopHistory_DeliverCount,Gesammelte Fischeier,Power Eggs collected,Power Eggs collected,Caviar rojo,Huevecillos de poder,Œufs de poi. collectés,Œufs de poi. collectés,Uova raccolte,集めたイクラ,모은 연어알,Visseneieren,Икринок:,已收集的鲑鱼卵,已收集的鮭魚卵
CoopHistory_Enemy,Boss-Salmoniden,Boss Salmonids,Boss Salmonids,Gran salmónido,Gran salmónido,Salmonoboss,Salmonoboss,Gran Salmonoidi,オオモノシャケ,거물연어,Salmonietenbazen,Самонидских боссов:,巨大鲑鱼,巨大鮭魚
CoopHistory_ExWave,Extra-Welle,XTRAWAVE,XTRAWAVE,Ofensiva extra,Oleada extra,Vague +,Vague +,Ondata extra,EX-WAVE,EX-WAVE,Extra golf,Волна +,EX-WAVE,EX-WAVE
CoopHistory_Failure,Schade...,Defeat,Defeat,Lástima...,Derrota...,Échec...,Échec...,Peccato...,Failure,Failure,Helaas...,Провал,Failure,Failure
CoopHistory_Gj,✓,✓,✓,✓,✓,✓,✓,✓,GJ!,GJ!,✓,✓,GJ!,GJ！
CoopHistory_GoToStats,Zurück zu den Schicht-Daten,Back to Job Logs,Back to Job Logs,Volver a los resultados de tareas,Volver a los resultados de tareas,Retour aux stats de missions,Retour aux stats de missions,Torna alla cronologia dei lavori,バイトヒストリー一覧に戻る,아르바이트 히스토리 목록으로 돌아가기,Terug naar werkverledenlijst,Назад к рабочим показателям,返回打工历史一览,返回打工記錄一覽
CoopHistory_GoldenDeliverCount,Gesammelte Gold-Fischeier,Golden Eggs collected,Golden Eggs collected,Alevines ,Huevecillos dorados,Œufs dorés collectés,Œufs dorés collectés,Uova d'oro raccolte,集めた金イクラ,모은 황금 연어알,Gouden eieren,Золотых икринок:,已收集的金鲑鱼卵,已收集的金鮭魚卵
CoopHistory_HighestScore,Highscore,High Score,High Score,Récord,Récord,Record,Record,Record,ハイスコア,하이 스코어,Topscore,Рекорд,最高分数,最高分數
CoopHistory_History,Karriere,Job Logs,Job Logs,Resultados de tareas,Resultados de tareas,Stats de missions,Stats de missions,Cronologia dei lavori,バイトヒストリー,아르바이트 히스토리,Werkverleden,Рабочие показатели,打工历史,打工記錄
CoopHistory_JobPoint,Dein Punktestand,Your Points,Your Points,Puntos,Puntos,Tes points,Tes points,I tuoi punti,獲得ポイント,획득 포인트,Je punten,Твои очки,获得点数,獲得點數
CoopHistory_JobRatio,Bewertung,Pay Grade,Pay Grade,Tasa de valoración,Grado,Éval.,Éval.,Tasso,評価レート,평가 비율,Beoordeling,Должность,评价倍率,評價倍率
CoopHistory_KumaPointCard,Bärenpunkte-Karte,Grizzco Point Card,Grizzco Point Card,Puntos de Don Oso,Tarjeta de Don Oso,Carte point M. Ours,Carton de M. Ours,Carta punti Ursus,クマサンポイントカード,Mr. 베어 포인트 카드,Beer & Co-spaarkaart,Отчетная карта,熊先生点数卡,熊先生集點卡
CoopHistory_Latest,Letzte Schicht,Last Job,Last Job,Más reciente,Más reciente,Dernière mission,Dernière mission,Ultimo,最新のバイトへ,최근 히스토리,Laatste klus,Послед. смена,前往最新的打工,前往最新打工
CoopHistory_LimitedPoint,Spezial-Bonuspunktestand,Current special bonus points,Current special bonus points,Puntos eventuales actuales,Puntos especiales actuales,Points de prix spéciaux actuels,Points de prix spéciaux actuels,Punti attuali (bonus speciale),現在の期間限定ポイント,현재 기간 한정 포인트,Speciale bonuspunten,Сейчас спецочков:,目前的期间限定点数,現有的期間限定點數
CoopHistory_MonthlyReward,Monatsangebot,This Month's Gear,This Month's Gear,Objeto del mes,Objeto del mes,Pièce d'équipement du mois,Pièce d'équipement du mois,Oggetto del mese,今月のギア,이달의 기어,Uitrusting voor deze maand,Снаряжение месяца,本月的装备,本月的裝備
CoopHistory_Next,Vor,Next Job,Next Job,Siguiente,Siguiente,Suivant,Suivant,Seguente,次のバイト,다음 히스토리,Volgende klus,След. смена,下一个打工,下一場打工
CoopHistory_Ng,✘,✘,✘,✘,✘,✘,✘,✘,NG,NG,✘,✘,NG,NG
CoopHistory_NoData,Keine Schicht-Daten vorhanden.,No job logs to display.,No job logs to display.,No hay resultados de tareas.,No hay resultados de tareas.,Aucune stat de mission disponible.,Aucune stat de mission disponible.,Non è presente alcuna cronologia dei lavori.,バイトヒストリーがありません,아르바이트 히스토리가 없습니다,Er is geen werkverleden.,Нет рабочих показателей.,没有打工历史,沒有打工記錄
CoopHistory_NotAvailable,Schicht-Daten nicht verfügbar,Job Logs Unavailable,Job Logs Unavailable,Resultados de tareas no disponibles,Resultados de tareas no disponibles,Les stats de missions ne sont pas disponibles.,Les stats de missions ne sont pas disponibles.,Cronologia dei lavori non disponibile,バイトヒストリーを表示できません,아르바이트 히스토리를 표시할 수 없습니다,Werkverleden niet beschikbaar,Рабочие показатели недоступны,无法显示打工历史,無法顯示打工記錄
CoopHistory_NotAvailableDescription,Nur die letzten 50 Einträge sind verfügbar.,Only the 50 most recent entries are available.,Only the 50 most recent entries are available.,Solo los 50 registros más recientes están disponibles.,Solo los 50 registros más recientes están disponibles.,Seules les 50 entrées les plus récentes sont disponibles.,Seules les 50 entrées les plus récentes sont disponibles.,Vengono visualizzati solo i 50 lavori più recenti.,閲覧できるバイトヒストリーは、最新の50戦までです。,최신 아르바이트 히스토리는 50전까지 열람할 수 있습니다.,Alleen de 50 meest recente klussen zijn beschikbaar.,Доступно только 50 последних смен.,可阅览的打工历史仅限最新的50场,可瀏覽的打工記錄僅限最新的50戰
CoopHistory_NotDefeated,Gescheitert...,Failed...,Failed...,No pudo ser...,No se logró...,Échec...,Échec...,Missione fallita...,倒せなかった...,쓰러뜨리지 못했다…,Mislukt...,Не удалось победить...,未能击倒……,擊倒失敗……
CoopHistory_P, P,p,p, p,p., p., p.,p,p,p, p, очк.,p,p
CoopHistory_PlayCount,Angetretene Schichten,Shifts worked,Shifts worked,Encargos completados   ,Encargos realizados,Sessions de travail,Sessions de travail,Lavori completati,バイト回数,아르바이트 횟수,Klussen,Отработано смен:,打工次数,打工次數
CoopHistory_Previous,Zurück,Previous Job,Previous Job,Anterior,Anterior,Précédent,Précédent,Precedente,前のバイト,이전 히스토리,Vorige klus,Пред. смена,上一个打工,上一場打工
CoopHistory_Private,Private Schicht,Private Job,Private Job,Trabajo privado,Trabajo privado,Mission privée,Mission privée,Lavoro privato,プライベート,프라이빗,Privéklus,Частная смена,私人,私人
CoopHistory_Recruit,Eierjäger gesucht!,Staff Wanted!,Staff Wanted!,¡Se busca personal!,¡Se busca personal!,On embauche!,On embauche !,Assunzioni aperte!,スタッフ募集！,스태프 모집!,Personeel gezocht!,Ищем сотрудников!,募集员工！,招募員工
CoopHistory_RecruitDescription,"Jung? Spontan? Risikofreudig? Aufstrebende, fleißige Talente lieben diesen schuppenmäßig gut bezahlten Job!",A beginner-friendly job for energetic and positive individuals who are willing to put it all on the line. Work hard for easy scales!,A beginner-friendly job for energetic and positive individuals who are willing to put it all on the line. Work hard for easy scales!,Una labor apta incluso para gente sin experiencia. ¡Basta con tener energía y actitud positiva para ganar escamas de forma cómoda!,Una labor apta incluso para gente sin experiencia. ¡Basta con tener energía y actitud positiva para ganar escamas de manera fácil!,"Un travail taillé pour ceux qui ont de l'énergie et de l'optimisme à revendre, et qui sont prêts à bosser dur pour empocher un tas d'écailles. Motivation exigée. Débutants acceptés.","Un travail taillé pour ceux qui ont de l'énergie et de l'optimisme à revendre, et qui sont prêts à bosser dur pour empocher un tas d'écailles. Motivation exigée. Débutants acceptés.","Un'attività adatta ai principianti per molluschi energici, ottimisti e desiderosi di rischiare il tutto per tutto. Fai squame facili lavorando sodo!",初心者でも安心！元気で明るい方大歓迎！<br />アットホームな職場でアルバイトをしてみませんか？,경력이 없어도 OK! 밝고 기운찬 분 환영! 가족 같은 분위기의 직장에서 아르바이트해 보지 않으시겠습니까?,"Een klus voor beginners, energieke en positieve personen die bereid zijn alles op alles te zetten. Hard werk, maar goedbetaald!",Подходящая работенка для позитивных и амбициозных новичков. Работай не покладая щупалец и зарабатывай легкие чешуйки!,想在无拘无束的职场打工吗？<br />初学者也能放心参加！欢迎热情开朗的人加入！,你想不想在一個無拘無束的職場裡打工呢？<br />沒有經驗也不用擔心！歡迎開朗有活力的人加入我們！
CoopHistory_RecruitTag1,Supereinfach!,It's Easy!,It's Easy!,¡Es fácil!,Trabajo fácil,C'est facile!,C'est facile !,È facile!,簡単,간단,Het is een makkie!,Проще морской капусты!,简单,簡單
CoopHistory_RecruitTag2,Fischeiersammeln bringt Spaß und Profit!,Collect Power Eggs for Fun and Profit!,Collect Power Eggs for Fun and Profit!,Recolección de caviar rojo,Remuneración generosa,"La collecte d'œufs, c'est le fun et ça rapporte!","La collecte d'œufs, c'est fun et ça rapporte !",Raccogli uova per svago e profitto!,イクラ集め,연어알 모으기,Verzamel visseneieren: leuk en lucratief!,Сбор икринок — дело веселое и прибыльное!,收集鲑鱼卵,收集鮭魚卵
CoopHistory_RecruitTitle,Fischeiersammeln! Der beste Job der Welt!,Collecting Power Eggs Suits You!,Collecting Power Eggs Suits You!,¡Reunir caviar es lo tuyo!,¡Recolecta huevecillos de poder con nosotros!,"La collecte d'œufs, un travail de rêve!","La collecte d'œufs, un job de rêve !",La raccolta di uova di pesce ti si addice!,～イカした制服でイクラ集め～,～어메이징한 작업복을 입고 연어알 모으기～,Visseneieren verzamelen past bij jou!,Собирай икринки стильно!,～穿上超鱿型的制服收集鲑鱼卵～,～穿上超魷型的制服收集鮭魚卵～
CoopHistory_Regular,Standardschicht,Normal Job,Normal Job,Encargo normal,Encargo normal,Mission normale,Mission normale,Normale,いつものバイト,일반 아르바이트,Normale klus,Обычная смена,平时的打工,一般打工
CoopHistory_RegularPoint,Punktestand,Current points,Current points,Saldo actual,Saldo de puntos,Points actuels,Points actuels,Punti attuali,現在のポイント,현재 포인트,Huidig aantal punten,За смену:,现有点数,現有點數
CoopHistory_RescueCount,Gerettete Teamkollegen,Crew members rescued,Crew members rescued,Compañeros rescatados,Compañeros rescatados,Collègues secourus,Collègues secourus,Colleghi soccorsi,助けた回数,도와준 횟수,Geredde teamgenoten,Спасено коллег:,救援次数,救援次數
CoopHistory_RescuedCount,Benötigte Rettungen,Times Rescued,Times Rescued,Número de rescates,Número de rescates,Secours reçus,Secours reçus,Salvataggi ricevuti,たすけてもらったかいすう,도움받은 횟수,Aantal keer gered,Спасений,被救助的次数,被救助的次數
CoopHistory_Scale,Schuppen,Scales,Scales,Escamas,Escamas,Écailles,Écailles,Squame,ウロコ,비늘,Visschubben,Чешуек,鳞片,鱗片
CoopHistory_ScaleBronze,Bronzeschuppe,Bronze Scale,Bronze Scale,Escama de bronce,Escama de bronce,Écaille de bronze,Écaille de bronze,Squama di bronzo,ドウウロコ,동 비늘,Bronzen schub,Бронзовая чешуйка,铜鳞片,銅鱗片
CoopHistory_ScaleGold,Goldschuppe,Gold Scale,Gold Scale,Escama de oro,Escama de oro,Écaille d'or,Écaille d'or,Squama d'oro,キンウロコ,황금 비늘,Gouden schub,Золотая чешуйка,金鳞片,金鱗片
CoopHistory_ScaleSilver,Silberschuppe,Silver Scale,Silver Scale,Escama de plata,Escama de plata,Écaille d'argent,Écaille d'argent,Squama d'argento,ギンウロコ,은 비늘,Zilveren schub,Серебряная чешуйка,银鳞片,銀鱗片
CoopHistory_Score,Leistung,Job Score,Job Score,Rendim.,Rendim.,Pointage,Score,Punti,バイトスコア,아르바이트 스코어,Klusscore,Общий КПД,打工分数,打工分數
CoopHistory_SeeSchedule,Arbeitszeiten,View Schedule,View Schedule,Ver calendario,Ver calendario,Consulter l'horaire,Consulter le planning,Vedi calendario,スケジュールを見る,스케줄 보기,Periode,Дата/период,查看日程,查看時間表
CoopHistory_SmellMeter,Salmometer,Salmometer,Salmometer,salmómetro,salmómetro,Salmomètre,Salmomètre,Salmometro,オカシラゲージ,두목 게이지,Salmometer,Король-шкала,头目槽,頭目槽
CoopHistory_SupplyWeapon,Verfügbare Waffen,Supplied Weapons,Supplied Weapons,Armas asignadas,Armas disponibles,Armes fournies,Armes fournies,Armi fornite,支給ブキ,지급 무기,Beschikbare wapens,Табельное оружие,发放武器,派發武器
CoopHistory_TeamContest,Team-Wettkampf,Eggstra Work,Eggstra Work,Alianza alevínica,Recolección extra,Défi œuf sup',Défi œuf sup',Sfida tra colleghi,バイトチームコンテスト,아르바이트 팀 콘테스트,Bedrijfseitje,Икорный овертайм,团队打工竞赛,團隊打工競賽
CoopHistory_Title,Salmon Run,Salmon Run,Salmon Run,Salmon Run,Salmon Run,Salmon Run,Salmon Run,Salmon Run,サーモンラン,새먼 런,Salmon Run,Salmon Run,鲑鱼跑,SALMON RUN
CoopHistory_TotalPoint,Gesamtpunkte,Total points,Total points,Puntos totales,Puntos totales,Total des points,Total des points,Punti totali,るいけいポイント,누적 포인트,Puntentotaal,Всего очков:,累计点数,累計點數
CoopHistory_Wave,Welle ,Wave ,Wave ,Ofensiva ,Oleada ,Vague ,Vague ,Ondata ,WAVE ,WAVE ,e golf,Волна ,WAVE ,WAVE 
CoopHistory_WaveLevel0,Ebbe,Low Tide,Low Tide,Marea baja,Marea baja,Marée basse,Marée basse,Bassa marea,干潮,간조,Eb,Отлив,干潮,乾潮
CoopHistory_WaveLevel1,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normale,普通,보통,Normaal,Норм.,普通,普通
CoopHistory_WaveLevel2,Flut,High Tide,High Tide,Marea alta,Marea alta,Marée haute,Marée haute,Alta marea,満潮,만조,Vloed,Прилив,满潮,滿潮
CoopRecord_AppName,Schicht,Work,Work,Encargos,Encargos,Missions,Missions,Lavoro,バイト,아르바이트,Klussen,Смена,打工,打工
CoopRecord_Attended,Teilnahmen: ,Times Participated: ,Times Participated: ,Participaciones: ,Participaciones: ,Nombre de participations : ,Nombre de participations : ,Partecipazioni: ,参加回数： ,참가 횟수: ,Aantal keer meegedaan: ,Смен: ,参加次数：,參加次數︰
CoopRecord_Bigrun,Big Run,Big Run,Big Run,Big Run,Big Run,Big Run,Big Run,Big Run,ビッグラン,빅 런,Big Run,Big Run,大型跑,大型跑
CoopRecord_BigrunBronze,Bronze,Bronze,Bronze,Bronce,Bronce,Bronze,Bronze,Bronzo,銅,동,Brons,Бронза,铜,銅
CoopRecord_BigrunGold,Gold,Gold,Gold,Oro,Oro,Or,Or,Oro,金,금,Goud,Золото,金,金
CoopRecord_BigrunSilver,Silber,Silver,Silver,Plata,Plata,Argent,Argent,Argento,銀,은,Zilver,Серебро,银,銀
CoopRecord_HighestJobRate,Höchste Bewertung,Highest Pay Grade,Highest Pay Grade,Mejor valoración,Mayor grado,Meilleure évaluation,Meilleure évaluation,Valutazione massima,最高評価,최고 평가,Hoogste beoordeling,Лучшая должность,最高评价,最高評價
CoopRecord_HighestScore,Highscore,High Score,High Score,Récord,Récord,Record,Record,Record,ハイスコア,하이 스코어,Topscore,Рекорд,最高分数,最高分數
CoopRecord_More,Mehr,See More,See More,Ver más,Ver más,Afficher plus d'infos,Afficher plus d'infos,Scopri di più,もっと見る,더 보기,Meer info,Подробнее,显示更多,顯示更多
CoopRecord_NoData,Keine Daten,No records.,No records.,Sin datos,Sin datos,Aucune donnée,Aucune donnée,Nessun dato,きろくがありません,기록이 없습니다,Geen gegevens,Данных нет.,无记录,沒有記錄
CoopRecord_TeamContest,Team-Wettkampf,Eggstra Work,Eggstra Work,Alianza alevínica,Recolección extra,Défi œuf sup',Défi œuf sup',Sfida tra colleghi,バイトチームコンテスト,아르바이트 팀 콘테스트,Bedrijfseitje,Икорный овертайм,团队打工竞赛,團隊打工競賽
CoopRecord_Title,Salmon Run-Daten,Salmon Run Stats,Salmon Run Stats,Estadísticas,Salmon Run,Statistiques,Statistiques,Statistiche,サーモンランのきろく,새먼 런 기록,Statistieken,Статистика,鲑鱼跑记录,SALMON RUN記錄
Error_BackToHome,Zurück zur Startseite,Back to Home,Back to Home,Volver al inicio,Volver al inicio,Retour à l'accueil,Retour à l'accueil,Torna alla pagina iniziale,ホームに戻る,홈으로 돌아가기,Naar het beginscherm,На главную,返回主页,返回主頁
Error_CurrentlyNotAvailable,Momentan nicht verfügbar. Bitte warte etwas und versuche es dann erneut.,"Currently unavailable.<br />Please wait a bit, then try again.","Currently unavailable.<br />Please wait a bit, then try again.",No disponible actualmente. Inténtalo de nuevo más tarde.,No disponible actualmente.<br />Inténtalo de nuevo más tarde.,Actuellement indisponible. Réessaie plus tard.,Actuellement indisponible. Réessaie plus tard.,Al momento non disponibile. Riprova più tardi.,現在利用できません。しばらくお待ちください,현재 이용할 수 없습니다. 잠시 기다려 주십시오.,Momenteel niet beschikbaar. Probeer het later nog eens.,"В данный момент недоступно. Пожалуйста, попробуй позже.",目前无法使用，请稍候。,目前無法使用，請稍待片刻。
Error_Error,Fehler,Error,Error,Error,Error,Erreur,Erreur,Errore,エラー,에러,Fout,Ошибка,错误,錯誤
Error_ErrorOccurred,Ein Fehler ist aufgetreten.,An error occurred.,An error occurred.,Se ha producido un error.,Se produjo un error.,Une erreur est survenue.,Une erreur est survenue.,Si è verificato un errore.,エラーが発生しました,에러가 발생했습니다,Er is een fout opgetreden.,Произошла ошибка.,发生错误。,發生錯誤。
Error_ErrorReopen,Ladevorgang fehlgeschlagen.,Loading failed.,Loading failed.,No se han podido cargar los datos.,No se pudieron cargar los datos.,Échec du chargement.,Échec du chargement.,Errore di caricamento.,読みこみに失敗しました,로딩에 실패했습니다,Het laden is mislukt.,Загрузка не удалась. ,读取失败。,讀取失敗。
Error_MaintenanceDescription,Aufgrund von Server-Wartungsarbeiten steht dieser Service momentan nicht zur Verfügung. Bitte versuche es später erneut.,"The server is currently undergoing maintenance. Please wait a bit, then try again.","The server is currently undergoing maintenance. Please wait a bit, then try again.",Se están efectuando labores de mantenimiento en el servidor. Inténtalo de nuevo más tarde.,Se están realizando labores de mantenimiento en el servidor. Inténtalo de nuevo más tarde.,Le serveur est en cours de maintenance. Réessaie plus tard.,Le serveur est en cours de maintenance. Réessaie plus tard.,Sono in corso dei lavori di manutenzione sul server. Riprova più tardi.,ただいまサーバーのメンテナンス中です。時間をおいて再度アクセスしてください。,현재 서버 점검 중입니다. 잠시 후에 다시 접속해 주십시오.,Er wordt momenteel onderhoud gepleegd aan de server. Probeer het later nog eens.,"Технические работы на сервере. Пожалуйста, попробуй позже.",目前服务器正在维护，请稍后再重新连接。,目前伺服器正在維護中，請稍後再重新連接。
Error_MaintenanceTitle,Bitte warten...,Standby...,Standby...,Espera unos instantes...,En espera...,Patiente quelques instants...,Patiente quelques instants...,Attendi...,しばらくお待ちください,잠시 기다려 주십시오,Enige tijd geduld,Минуточку...,请稍候。,請稍待片刻
Error_NetworkNotAvailable,Ladevorgang fehlgeschlagen. Bitte überprüfe die Verbindung mit dem Internet und versuche es erneut.,Loading failed. Please check your internet connection and try again.,Loading failed. Please check your internet connection and try again.,No se han podido cargar los datos. Comprueba tu conexión a internet y vuelve a intentarlo.,No se pudieron cargar los datos. Comprueba tu conexión a internet e inténtalo de nuevo.,"Échec du chargement. Vérifie ta connexion à Internet, puis réessaie.","Échec du chargement. Vérifie ta connexion à Internet, puis réessaie.",Caricamento fallito. Controlla la tua connessione a Internet e riprova.,読みこみに失敗しました。<br />通信環境のよいところで再度お試しください。,로딩에 실패했습니다. 통신 환경이 좋은 곳에서 다시 시도해 주십시오.,Het laden is mislukt. Controleer je internetverbinding en probeer het opnieuw.,Загрузка не удалась. Проверь подключение к Интернету и повтори попытку.,读取失败，请在互联网环境良好的地方再次尝试。,讀取失敗，請在良好的網路環境下重新再試一次。
Error_NotSupported,"SplatNet 3 kann nicht angezeigt werden. Bitte überprüfe deine Internetverbindung und warte etwas, bevor du es erneut versuchst. Wenn das Problem dadurch nicht behoben wird, überprüfe, ob du die aktuelle Version deines Browsers verwendest. Wenn dir weiterhin diese Nachricht angezeigt wird, ist es möglich, dass SplatNet 3 nicht mit deinen momentanen Einstellungen oder deinem Smartgerät kompatibel ist.","SplatNet 3 cannot be displayed. Please check your internet connection and wait a bit before trying again. If the problem isn't resolved, check your internet browser to make sure it has been updated to the latest version. If you still receive this message, it may be possible that SplatNet 3 is not compatible with your current settings or device.","SplatNet 3 cannot be displayed. Please check your internet connection and wait a bit before trying again. If the problem isn't resolved, check your internet browser to make sure it has been updated to the latest version. If you still receive this message, it may be possible that SplatNet 3 is not compatible with your current settings or device.","No se puede mostrar SplatNet 3. Comprueba tu conexión a internet y vuelve a intentarlo más tarde. Si el problema no se soluciona, comprueba que tu navegador de internet esté actualizado a la versión más reciente. Si sigue mostrándose este mensaje, es posible que SplatNet 3 no sea compatible con tu dispositivo o con los ajustes actuales.","No se puede mostrar SplatNet 3. Comprueba tu conexión a internet y vuelve a intentarlo más tarde. Si el problema no se soluciona, comprueba que tu navegador de internet esté actualizado a la versión más reciente. Si sigues recibiendo este mensaje, es posible que SplatNet 3 no sea compatible con tu dispositivo o con los ajustes actuales.","SplatNet 3 ne peut pas s'afficher. Vérifie ta connexion Internet et attends un peu, puis réessaie. Si le problème persiste, assure-toi que ton navigateur Internet a installé sa mise à jour la plus récente. Si ce message continue à apparaître, il se peut que SplatNet 3 ne soit pas compatible avec tes paramètres ou ton appareil actuels.","SplatNet 3 ne peut pas s'afficher. Vérifie ta connexion Internet et attends un peu, puis réessaie. Si le problème persiste, assure-toi que ton navigateur Internet a accueilli sa mise à jour la plus récente. Si ce message continue à apparaître, il se peut que SplatNet 3 ne soit pas compatible avec tes paramètres ou ton appareil actuels.","Impossibile visualizzare SplatNet 3. Controlla la tua connessione a Internet e attendi qualche minuto prima di riprovare. Se il problema persiste, controlla il tuo browser Internet e assicurati che sia aggiornato alla versione più recente. Se ricevi ancora questo messaggio, SplatNet 3 potrebbe non essere compatibile con le tue impostazioni o con il tuo dispositivo.",イカリング３を表示できません。しばらく時間をおいてから通信環境の良い場所で再度お試しください。<br />問題が解決しない場合は、ブラウザが最新版に更新されているか確認してください。<br />それでもこの画面が表示される場合は、ご利用の環境でイカリング３を利用できない可能性があります。,"오징어넷 3를 표시할 수 없습니다. 잠시 후 통신 환경이 좋은 장소에서 다시 시도해 주십시오.<br />문제가 해결되지 않을 경우, 브라우저가 최신 버전으로 업데이트되어 있는지 확인해 주십시오.<br />그래도 이 화면이 표시될 경우, 이용하시는 환경에서 오징어넷 3를 이용할 수 없을 가능성이 있습니다.","SplatNet 3 kan niet worden weergegeven. Controleer je internetverbinding en probeer het later opnieuw. Als het probleem niet is verholpen, controleer dan of je de meest recente versie van je internetbrowser gebruikt. Als je dit bericht blijft zien, dan wordt SplatNet 3 mogelijk niet ondersteund door je huidige apparaat of met je huidige instellingen.","Невозможно отобразить SplatNet 3. Проверь подключение к Интернету, подожди некоторое время и повтори попытку. Если проблема сохраняется, убедись, что твой интернет-браузер был обновлен до самой актуальной версии. Если ты продолжаешь получать это сообщение, вероятно, приложение SplatNet 3 несовместимо с твоими текущими настройками или устройством.",无法显示“鱿鱼圈 3”。请过一段时间后在通信环境良好的地方再次尝试。<br />如果问题仍没有解决，请确认浏览器是否已更新到最新版。<br />如果依然显示该画面，可能您的使用环境无法运行“鱿鱼圈 3”。,無法顯示「魷魚圈 3」。請過一段時間後在通訊環境良好的地方再次嘗試。<br />如果問題仍然無法解決，請確認瀏覽器是否已更新至最新版本。<br />如果仍然顯示此畫面，有可能是您的使用環境無法使用「魷魚圈 3」。
Error_Reload,Aktualisieren,Refresh,Refresh,Actualizar,Actualizar,Actualiser,Actualiser,Aggiorna,再読みこみ,새로 고침,Opnieuw laden,Обновить,再次读取,重新讀取
FesRecord_AppName,Splatfest,Splatfest,Splatfest,Festival,Festivales,Festival,Festival,Festival,フェス,페스티벌,Splatfest,Сплатфест,祭典,祭典
FesRecord_Attack,Angreifer,Attacking,Attacking,Al ataque,Al ataque,En attaque,En attaque,In attacco,攻撃,공격,Aanval,Нападающие,进攻,進攻
FesRecord_Average,Durchschnitt,Average,Average,Media:,Media:,Moyenne,Moyenne,Media:,へいきん,평균,Gemiddelde,В среднем:,平均,平均
FesRecord_Challenge,Profi,Pro,Pro,Formal,Formal,Défi,Défi,Sfida,チャレンジ,챌린지,Pro,Профи,挑战,挑戰
FesRecord_ComingSoon,Demnächst!,Coming Soon!,Coming Soon!,¡Próximamente!,¡Próximamente!,C'est pour bientôt!,C'est pour bientôt !,In arrivo!,もうすぐ開催,개최 예정,Binnenkort!,Скоро!,即将举行,即將舉行
FesRecord_ContributionChallenge,Beitrag – Profi,Clout - Pro,Clout - Pro,Aportación (formal),Aportación (formal),Contribution (défi),Contribution (défi),Contributo (Sfida),こうけん度 チャレンジ,공헌도 챌린지,Invloed (pro),Вклад (профи),贡献度 挑战,貢獻度 挑戰
FesRecord_ContributionRegular,Beitrag – Offen,Clout - Open,Clout - Open,Aportación (informal),Aportación (informal),Contribution (ouvert),Contribution (ouvert),Contributo (Aperta),こうけん度 オープン,공헌도 오픈,Invloed (open),Вклад (открытый),贡献度 开放,貢獻度 開放
FesRecord_ContributionTricolor,Beitrag – Dreifarb-Match,Tricolor Battle Clout,Tricolor Battle Clout,Aportación (pugna tricolor),Aportación (combate tricolor),Contribution (match tricolore),Contribution (match tricolore),Contributo (Scontro tricolore),こうけん度 トリカラマッチ,공헌도 트리컬러 매치,Invloed (driekleurengevecht),Вклад (трехцветный бой),贡献度 三色夺宝比赛,貢獻度 三色奪寶比賽
FesRecord_Defense,Verteidiger,Defending,Defending,En defensa,En defensa,En défense,En défense,In difesa,守備,수비,Verdediging,Защитники,防守,防守
FesRecord_FestPower,{ 1 }-Power: ,{ 1 } Power: ,{ 1 } Power: ,Energía { 1 }: ,Fuerza { 1 }: ,Puissance { 1 } : ,{ 1 } Power : ,Energia { 1 } ,{ 1 }パワー,{ 1 } 파워,{ 1 }-kracht: ,Сила команды «{ 1 }»: ,{ 1 }战力,{ 1 }戰力
FesRecord_FestRanking,Splatfest Top 100,Splatfest Top 100,Splatfest Top 100,100 mejores del festival,100 mejores del festival,Top 100 du festival,Top 100 du festival,Top 100 festival,フェス100ケツ,페스티벌 톱 100,Splatfest Top 100,ТОП-100 (Сплатфест),祭典百杰,祭典100豪傑
FesRecord_GotHoragai,Erhaltene Tritonshörner,Conch Shells Obtained,Conch Shells Obtained,Caracolas obtenidas,Caracolas obtenidas,Conques obtenues,Conques obtenues,Conchiglie ottenute,ホラガイ獲得個数,소라고둥 획득 개수,Ontvangen prijsschelpen,Получено раковин,法螺获得数量,法螺獲得數量
